start_n,target_attractor,steps,cubic_torsion,residue_mod24,bezier_sig,status
2201089,1,334,152299.497639,1,45.21,SINGULARITY_REACHED
2934785,17,337,113209.883941,17,38.45,VANGUARD_SPIKE
3301633,1,332,102144.642399,1,35.12,RESIDUE_1_RESONANCE
3478265,17,345,93304.239482,17,32.05,HARMONIC_BREAK
3913047,15,340,84158.241849,15,28.91,TURBULENT_ZONE
4122389,5,353,76941.360940,5,26.44,RESIDUE_5_SPIKE
4402177,1,335,75923.835267,1,26.08,RESIDUE_1_RESONANCE
2513985,5,348,55356.402144,9,21.05,TURBULENT_RESONANCE
1747841,17,406,3881.042858,17,14.88,HARMONIC_BREAK
3770977,1,346,37117.577072,1,12.75,RESIDUE_1_RESONANCE
1000000,1,152,0.012400,16,1.05,BASELINE_NOISE
2000000,17,212,0.018900,8,1.25,BASELINE_NOISE
4500000,1,265,0.024500,12,1.55,BASELINE_NOISE
