start_n,target_attractor,steps,max_magnitude,torsion,ri,category,status
12918145,1,334,3.05e+13,78097.97,13.58,SPIKE_SINGULARITY,MAGNITUDE_RECORD
14913041,1,332,2.48e+13,69360.96,13.92,SPIKE_SINGULARITY,ENERGY_SPIKE
2201089,5,334,6.58e+12,152299.49,15.82,SPIKE_SINGULARITY,TORSION_SINGULARITY
6546273,17,688,1.08e+11,0.05,30.39,FRICTION_GLIDER,RESISTANCE_CHAMPION
9819409,1,686,1.52e+11,0.05,29.53,FRICTION_GLIDER,RESISTANCE_MIRROR
12153745,17,345,4.37e+12,27452.00,14.65,SPIKE_SINGULARITY,HARMONIC_BREAK
12367161,5,340,6.59e+12,25720.56,14.42,SPIKE_SINGULARITY,RESIDUE_9_SPIKE
13028785,1,335,6.59e+12,23544.53,14.12,SPIKE_SINGULARITY,RESIDUE_1_RESONANCE
1000000,1,152,1.5e+06,0.01,1.05,BASELINE,NOISE
10000000,1,245,1.5e+07,0.02,1.38,BASELINE,NOISE
20000000,17,288,2.5e+07,0.03,1.52,BASELINE,NOISE
