batch_k,candidates,survivors,survivor_n,is_prime
2321,2101514,101,60080775890041,False
2321,2101514,101,60085240652089,False
2321,2101514,101,60088868393401,False
2321,2101514,101,60071753856409,False
2321,2101514,101,60069955731361,False
2321,2101514,101,60083442325201,False
2321,2101514,101,60078977629969,False
2321,2101514,101,60079845752161,False
2321,2101514,101,60082977245041,False
2321,2101514,101,60090232700521,False
2321,2101514,101,60088372285561,False
2321,2101514,101,60079380685921,False
2321,2101514,101,60082140105289,False
2321,2101514,101,60073986049081,False
2321,2101514,101,60067754614921,False
2321,2101514,101,60070451763169,False
2321,2101514,101,60084837576481,False
2321,2101514,101,60083628357769,False
2321,2101514,101,60080930913721,False
2321,2101514,101,60086883974329,False
2321,2101514,101,60070699779841,False
2321,2101514,101,60065801545369,False
2321,2101514,101,60075939251689,False
2321,2101514,101,60066049552441,False
2321,2101514,101,60082233120529,False
2321,2101514,101,60071443832929,False
2321,2101514,101,60085581717121,False
2321,2101514,101,60073241980249,False
2321,2101514,101,60080217806449,False
2321,2101514,101,60078605579521,False
2321,2101514,101,60069614710681,False
2321,2101514,101,60067816617649,False
2321,2101514,101,60085798759009,False
2321,2101514,101,60066731574529,False
2321,2101514,101,60075009151249,False
2321,2101514,101,60077520438961,False
2321,2101514,101,60077210400601,False
2321,2101514,101,60089798601121,False
2321,2101514,101,60087101018569,False
2321,2101514,101,60077117389249,False
2321,2101514,101,60073521005521,False
2321,2101514,101,60081706035121,False
2321,2101514,101,60066328561009,False
2321,2101514,101,60076311293881,False
2321,2101514,101,60079907761129,False
2321,2101514,101,60071474835241,False
2321,2101514,101,60066080553361,False
2321,2101514,101,60079566712201,False
2321,2101514,101,60073862037289,False
2321,2101514,101,60074172067009,False
2321,2101514,101,60071164812481,False
2321,2101514,101,60086542905601,False
2321,2101514,101,60083070260929,False
2321,2101514,101,60076652333569,False
2321,2101514,101,60070358757049,False
2321,2101514,101,60068684659201,False
2321,2101514,101,60081147947209,False
2321,2101514,101,60087566114689,False
2321,2101514,101,60080372829409,False
2321,2101514,101,60073955046121,False
2321,2101514,101,60087163031281,False
2321,2101514,101,60079752738769,False
2321,2101514,101,60078171522121,False
2321,2101514,101,60088744366249,False
2321,2101514,101,60068281639129,False
2321,2101514,101,60087287056801,False
2321,2101514,101,60078729596209,False
2321,2101514,101,60068839667281,False
2321,2101514,101,60081892065001,False
2321,2101514,101,60068405645161,False
2321,2101514,101,60082326135841,False
2321,2101514,101,60071536839889,False
2321,2101514,101,60069304692721,False
2321,2101514,101,60079194659929,False
2321,2101514,101,60087194037649,False
2321,2101514,101,60089612559001,False
2321,2101514,101,60071009801401,False
2321,2101514,101,60085395681529,False
2321,2101514,101,60065615540401,False
2321,2101514,101,60079721734321,False
2321,2101514,101,60069211687489,False
2321,2101514,101,60082357140961,False
2321,2101514,101,60076466311801,False
2321,2101514,101,60089953636441,False
2321,2101514,101,60072869947561,False
2321,2101514,101,60077861482081,False
2321,2101514,101,60087752153641,False
2321,2101514,101,60068095630321,False
2321,2101514,101,60083380314409,False
2321,2101514,101,60086232843961,False
2321,2101514,101,60083535341449,False
2321,2101514,101,60064654519321,False
2321,2101514,101,60067351597969,False
2321,2101514,101,60072745936921,False
2321,2101514,101,60073490002681,False
2321,2101514,101,60065398534969,False
2321,2101514,101,60089488531081,False
2321,2101514,101,60088589332489,False
2321,2101514,101,60078326542441,False
2321,2101514,101,60077799474169,False
2321,2101514,101,60086418880849,False
2319,2101514,103,60029505032641,False
2319,2101514,103,60030434780761,False
2319,2101514,103,60016024494001,False
2319,2101514,103,60015125845249,False
2319,2101514,103,60038523893209,False
2319,2101514,103,60034432779721,False
2319,2101514,103,60028203397369,False
2319,2101514,103,60014661029569,False
2319,2101514,103,60032697197929,False
2319,2101514,103,60029040161281,False
2319,2101514,103,60030248830561,False
2319,2101514,103,60013514491921,False
2319,2101514,103,60023957685169,False
2319,2101514,103,60032945136649,False
2319,2101514,103,60023399865529,False
2319,2101514,103,60035641503289,False
2319,2101514,103,60016210422169,False
2319,2101514,103,60036881232409,False
2319,2101514,103,60031643464081,False
2319,2101514,103,60016613267521,False
2319,2101514,103,60025352245609,False
2319,2101514,103,60024701448721,False
2319,2101514,103,60017264020561,False
2319,2101514,103,60022656110041,False
2319,2101514,103,60031674456121,False
2319,2101514,103,60021788401129,False
2319,2101514,103,60016582279369,False
2319,2101514,103,60030062880649,False
2319,2101514,103,60034556750809,False
2319,2101514,103,60013886340769,False
2319,2101514,103,60019278278521,False
2319,2101514,103,60018379605409,False
2319,2101514,103,60037067192881,False
2319,2101514,103,60015497699089,False
2319,2101514,103,60025972055449,False
